Customer ID,Recency,Frequency,Monetary,AvgUnitPrice,UniqueItems,AvgQuantPerOrder
12346.0,326,1,77183.6,1.04,1,74215.0
12347.0,2,7,4310.0,2.644010989010989,103,13.505494505494505
12348.0,75,4,1797.24,5.764838709677419,22,75.51612903225806
12349.0,19,1,1757.55,8.289041095890411,73,8.643835616438356
12350.0,310,1,334.4,3.841176470588235,17,11.588235294117647
12352.0,36,8,2506.04,15.93070588235294,59,6.305882352941176
12353.0,204,1,89.0,6.074999999999999,4,5.0
12354.0,232,1,1079.4,4.5037931034482765,58,9.137931034482758
12355.0,214,1,459.4,4.203846153846154,13,18.46153846153846
12356.0,23,3,2811.43,3.201186440677966,53,26.966101694915253
12357.0,33,1,6207.67,3.3486259541984733,131,20.671755725190838
12358.0,2,2,1168.06,8.27421052631579,13,13.052631578947368
12359.0,58,4,6372.58,8.620403225806452,214,6.540322580645161
12360.0,52,3,2662.06,3.5496899224806198,105,9.031007751937985
12361.0,287,1,189.9,3.335,10,9.1
12362.0,3,10,5226.23,3.94093984962406,201,8.3796992481203
12363.0,110,2,552.0,2.3117391304347827,23,17.73913043478261
12364.0,8,4,1313.1,1.910235294117647,70,17.71764705882353
12365.0,291,2,641.38,17.150454545454547,22,7.909090909090909
12367.0,4,1,168.9,3.2,11,15.727272727272727
12370.0,51,4,3545.69,2.800299401197605,143,14.089820359281438
12371.0,45,2,1887.96,3.8742857142857146,63,9.380952380952381
12372.0,72,3,1298.04,3.001346153846154,34,15.26923076923077
12373.0,311,1,364.6,4.582142857142857,14,14.071428571428571
12374.0,25,1,742.9300000000001,4.21969696969697,33,10.363636363636363
12375.0,11,2,457.5,6.912941176470589,14,10.470588235294118
12377.0,315,2,1628.12,2.718831168831169,72,12.25974025974026
12378.0,130,1,4008.62,2.9974429223744297,219,11.547945205479452
12379.0,82,2,852.24,2.86625,39,10.175
12380.0,22,4,2724.81,3.378653846153846,77,10.836538461538462
12381.0,5,5,1845.31,4.683218390804598,70,9.28735632183908
12383.0,185,5,1850.56,3.086969696969697,84,15.474747474747474
12384.0,29,2,585.27,7.87925925925926,26,4.666666666666667
12386.0,338,2,401.9,2.391,10,35.4
12388.0,16,6,2780.66,2.7777,57,14.62
12390.0,80,1,549.84,3.996875,32,11.03125
12391.0,22,1,460.89,2.4599,92,3.0
12393.0,72,4,1582.6000000000001,2.2796875,47,12.75
12394.0,64,2,1272.48,3.3707407407407404,26,30.333333333333332
12395.0,19,12,3018.63,3.9688461538461537,91,13.576923076923077
12397.0,36,2,2409.9,3.4682539682539684,110,10.023809523809524
12398.0,46,1,1635.6599999999999,1.992705882352941,85,16.4
12399.0,119,4,1108.65,2.1145762711864404,47,19.966101694915253
12401.0,303,1,84.3,9.68,5,2.2
12402.0,323,1,225.6,3.290909090909091,11,8.545454545454545
12403.0,50,1,427.7,7.080000000000001,5,19.2
12405.0,149,1,1710.39,3.5442592592592597,54,15.87037037037037
12406.0,22,2,3415.3,2.487047619047619,92,17.314285714285713
12407.0,50,5,1708.1200000000001,3.2674025974025973,57,18.38961038961039
12408.0,33,5,2888.55,3.0228571428571427,81,13.41904761904762
